Sample	Type	Pos	Run
GX001	TF	110	2
GX001	TA	93	1
GX006	TF	109	2
GX006	TA	14	1
GX012	TF	4	1
GX012	TA	5	1
GX021	TF	52	1
GX021	TA	54	1
GX022	TF	105	2
GX022	TA	2	1
GX023	TF	104	2
GX023	TA	76	1
GX023	TF	75	1
GX023	TA	61	1
GX024	TF	29	1
GX024	TA	21	1
GX025	TF	123	2
GX025	TA	10	1
GX026	TF	59	1
GX026	TA	63	1
GX030	TF	49	1
GX030	TA	67	1
GX032	TF	71	1
GX032	TA	60	1
GX034	TF	69	1
GX034	TA	50	1
GX034	TF	57	1
GX034	TA	74	1
GX036	TF	106	2
GX036	TA	34	1
GX036	TF	30	1
GX036	TA	12	1
GX041	TF	113	2
GX041	TA	72	1
GX041	TF	73	1
GX041	TA	65	1
GX044	TF	111	2
GX044	TA	56	1
GX046	TF	101	2
GX046	TA	35	1
GX048	TF	32	1
GX048	TA	36	1
GX049	TF	66	1
GX049	TA	51	1
GX052	TF	77	1
GX052	TA	8	1
GX054	TF	112	2
GX054	TA	27	1
GX054	TF	23	1
GX054	TA	20	1
GX056	TF	100	2
GX056	TA	39	1
GX056	TF	41	1
GX056	TA	44	1
GX057	TF	117	2
GX057	TA	43	1
GX058	TF	124	2
GX058	TA	28	1
GX059	TF	121	2
GX059	TA	45	1
GX060	TF	102	2
GX060	TA	38	1
GX060	TF	128	2
GX060	TA	37	1
GX061	TF	114	2
GX061	TA	26	1
GX061	TF	120	2
GX061	TA	19	1
GX062	TF	118	2
GX062	TA	99	1
GX062	TF	48	1
GX062	TA	98	1
GX066	TF	126	2
GX066	TA	80	1
GX068	TF	130	2
GX068	TA	91	1
GX068	TF	90	1
GX068	TA	89	1
GX069	TF	92	1
GX069	TA	79	1
GX072	TF	46	1
GX072	TA	97	1
