Pos	Sample	Type	OrType	Batch	Patient	Cancer	Run
110	GX001-TF	TF	TF	1	1	1	2
93	GX001-TO	TO	TO	2	1	1	1
109	GX006-T2F	TF	T2F	1	2	1	2
14	GX006-T2O	TO	T2O	2	2	1	1
4	GX012-TF	TF	TF	1	3	1	1
5	GX012-TO	TO	TO	2	3	1	1
52	GX021-TF	TF	TF	1	4	1	1
54	GX021-TO	TO	TO	2	4	1	1
105	GX022-TF	TF	TF	1	5	1	2
2	GX022-TO	TO	TO	2	5	1	1
104	GX023-TdysF	TF	TdysF	1	6	1	2
76	GX023-TdysO	TO	TdysO	2	6	1	1
75	GX023-TF	TF	TF	1	7	1	1
61	GX023-TO	TO	TO	2	7	1	1
29	GX024-TF	TF	TF	1	8	1	1
21	GX024-TO	TO	TO	2	8	1	1
123	GX025-TF	TF	TF	1	9	1	2
10	GX025-TO	TO	TO	2	9	1	1
59	GX026-TF	TF	TF	1	10	1	1
63	GX026-TO	TO	TO	2	10	1	1
49	GX030-TF	TF	TF	1	11	1	1
67	GX030-TO	TO	TO	2	11	1	1
71	GX032-TF	TF	TF	1	12	1	1
60	GX032-TO	TO	TO	2	12	1	1
69	GX034-LNF	TF	LNF	1	13	1	1
50	GX034-LNO	TO	LNO	2	13	1	1
57	GX034-TF	TF	TF	1	13	1	1
74	GX034-TO	TO	TO	2	13	1	1
106	GX036-T2F	TF	T2F	1	14	1	2
34	GX036-T2O	TO	T2O	2	14	1	1
30	GX036-TF	TF	TF	1	14	1	1
12	GX036-TO	TO	TO	2	14	1	1
113	GX041-T2F	TF	T2F	1	15	1	2
72	GX041-T2O	TO	T2O	2	15	1	1
73	GX041-TF	TF	TF	1	15	1	1
65	GX041-TO	TO	TO	2	15	1	1
111	GX044-TF	TF	TF	1	16	1	2
56	GX044-TO	TO	TO	2	16	1	1
101	GX046-TF	TF	TF	1	17	1	2
35	GX046-TO	TO	TO	2	17	1	1
32	GX048-TF	TF	TF	1	18	1	1
36	GX048-TO	TO	TO	2	18	1	1
66	GX049-TF	TF	TF	1	19	1	1
51	GX049-TO	TO	TO	2	19	1	1
77	GX052-TF	TF	TF	1	20	1	1
8	GX052-TO	TO	TO	2	20	1	1
112	GX054-T2F	TF	T2F	1	21	1	2
27	GX054-T2O	TO	T2O	2	21	1	1
23	GX054-TF	TF	TF	1	21	1	1
20	GX054-TO	TO	TO	2	21	1	1
100	GX056-T2F	TF	T2F	1	22	1	2
39	GX056-T2O	TO	T2O	2	22	1	1
41	GX056-TF	TF	TF	1	22	1	1
44	GX056-TO	TO	TO	2	22	1	1
117	GX057-TF	TF	TF	1	23	1	2
43	GX057-TO	TO	TO	2	23	1	1
124	GX058-TF	TF	TF	1	24	1	2
28	GX058-TO	TO	TO	2	24	1	1
121	GX059-TF	TF	TF	1	25	1	2
45	GX059-TO	TO	TO	2	25	1	1
102	GX060-T2F	TF	T2F	1	26	1	2
38	GX060-T2O	TO	T2O	2	26	1	1
128	GX060-TF	TF	TF	1	26	1	2
37	GX060-TO	TO	TO	2	26	1	1
114	GX061-T2F	TF	T2F	1	27	1	2
26	GX061-T2O	TO	T2O	2	27	1	1
120	GX061-TF	TF	TF	1	27	1	2
19	GX061-TO	TO	TO	2	27	1	1
96	GX062-FiA	Fib	Fib	1	28	2	1
84	GX062-FiB	Fib	Fib	1	28	2	1
83	GX062-FiT2c	Fib	Fib	1	28	2	1
118	GX062-T2F	TF	T2F	1	28	1	2
99	GX062-T2O	TO	T2O	2	28	1	1
48	GX062-TF	TF	TF	1	28	1	1
98	GX062-TO	TO	TO	2	28	1	1
88	GX064-FiTs1b	Fib	Fib	1	29	2	1
87	GX066-FiB	Fib	Fib	1	30	2	1
94	GX066-FiTs2b	Fib	Fib	1	30	2	1
126	GX066-TF	TF	TF	1	30	1	2
80	GX066-TO	TO	TO	2	30	1	1
130	GX068-T2F	TF	T2F	1	31	1	2
91	GX068-T2O	TO	T2O	2	31	1	1
90	GX068-TF	TF	TF	1	32	1	1
89	GX068-TO	TO	TO	2	32	1	1
92	GX069-TF	TF	TF	1	33	1	1
79	GX069-TO	TO	TO	2	33	1	1
86	GX070-FiT1b	Fib	Fib	1	34	2	1
40	GX072-FiT1b	Fib	Fib	1	35	2	1
46	GX072-TF	TF	TF	1	35	1	1
97	GX072-TO	TO	TO	2	35	1	1
